epoch,accuracy,loss,val_accuracy,val_loss
0,0.51390463,1.2406727108000546,0.45962733,1.5161238458092414
1,0.6198675,0.9588401396421513,0.62443066,0.9326995853311527
2,0.6670299,0.8361228009939672,0.6335404,0.9567746454390926
3,0.7107053,0.7357347113825722,0.67412007,0.801135866637062
4,0.73879784,0.6611564582045373,0.6873706,0.7826140283551029
5,0.7691788,0.5833698106606039,0.6989648,0.8125686565171117
6,0.8026545,0.5025679094494611,0.7109731,0.7631830644410096
7,0.83706737,0.4216783145812341,0.7304348,0.7179936106900991
8,0.8666202,0.34329465149835475,0.74616975,0.7006688552119964
9,0.8970229,0.273074421818925,0.76397514,0.7078241292487514
10,0.9170081,0.21742680449294977,0.75238097,0.7464534326616528
11,0.93531513,0.17386059657553726,0.75817806,0.8126035384509874
12,0.9443379,0.15102867434885495,0.72380954,1.0681114379170025
13,0.95473367,0.12431655650958906,0.78964806,0.7586390186047208
14,0.9644538,0.09984187357158193,0.75031054,0.9020325322082077
15,0.96288466,0.10292363264707152,0.7602484,0.9174432427739998
16,0.96918315,0.08634285625223294,0.79834366,0.774231863712919
17,0.97184205,0.08062941571722762,0.7979296,0.7644181781797429
18,0.9770072,0.06647940646594294,0.76853,1.0290474366697466
19,0.97293174,0.07801242658489928,0.7979296,0.8639411971929404
20,0.97397786,0.07080585330272654,0.7594203,1.0601042068276099
21,0.9789687,0.05876100743690392,0.8033126,0.8513293742639925
22,0.9781841,0.06257995398376254,0.7962733,0.9028693856166263
23,0.9826955,0.04972009785085586,0.81200826,0.8072518704594045
24,0.98132247,0.053743939426680584,0.80124223,0.9113673298995687
25,0.98110455,0.05542487824205304,0.77060044,1.1227747577564564
26,0.982216,0.05007412677869316,0.81449276,0.8404407023149494
27,0.983175,0.04856276213986374,0.7937888,0.9612652575500756
28,0.9833929,0.04833573986875305,0.7610766,1.2558589453282563
29,0.9851582,0.042960595500941015,0.8028985,0.9130694240269948
30,0.9845698,0.04414846770115935,0.7656315,1.1175785660743713
31,0.9848967,0.04422325337577324,0.7917184,0.9480906490707003
32,0.98718506,0.0366025071411061,0.7879917,1.0066710433851365
33,0.9875338,0.037571080571274174,0.74989647,1.1734865870288194
34,0.9847877,0.0452839417165325,0.80124223,0.8750616477883381
35,0.98842734,0.032667834601569544,0.77929604,1.050162443598852
36,0.98768634,0.036479207990078415,0.8376812,0.8078740250866853
37,0.9885363,0.032649387977538316,0.80910975,0.9063783867018563
38,0.9881222,0.035111162379915344,0.83809525,0.8095921058832488
39,0.98938626,0.03106178535467088,0.7780538,1.143087170978017
40,0.9881876,0.033836314363702095,0.81200826,0.8418479798003013
41,0.9891248,0.03122917255031913,0.83022773,0.8061857271391906
42,0.9892773,0.030917471549681143,0.8430642,0.8075945909966099
43,0.98938626,0.030838904078145702,0.82857144,0.8159233673512318
44,0.99012727,0.0286444432841616,0.8389234,0.8159958230289119
45,0.99034524,0.02784817268068924,0.7747412,1.1962869508419471
46,0.9892119,0.030358833287058365,0.83933747,0.8013483438679397
47,0.9897786,0.028893447413099745,0.8269151,0.8622947614879095
48,0.99180543,0.023673971804615074,0.81242234,0.890239277364798
49,0.9909772,0.02485148186065765,0.7246377,1.5391267229064405
50,0.99195796,0.02399190162406672,0.8335404,0.8657528852330478
51,0.9923721,0.02280874788523579,0.8385093,0.7969861188537092
52,0.9898004,0.029037750890362715,0.82194614,0.9311407008773298
53,0.99306947,0.021087687716244283,0.7614907,1.2286996040038194
54,0.9908901,0.02554542616165352,0.8484472,0.7310496932971552
55,0.99402845,0.017351107194788495,0.7879917,1.1150957902272542
56,0.9917836,0.025326343162261972,0.8364389,0.8586182440289799
57,0.9904542,0.027339648151733374,0.7768116,1.128197353498289
58,0.9925028,0.020998148730371535,0.8252588,0.8706298209125211
59,0.99217594,0.023053161524432354,0.7751553,1.1415793291530254
60,0.9925246,0.021129933187245487,0.8331263,0.8798301114058643
61,0.99313486,0.020494423909371805,0.84099376,0.8111135807343398
62,0.9936797,0.018834843390801423,0.84347826,0.8523593653926691
63,0.99365795,0.018743469494014748,0.84223604,0.7990304285695093
64,0.99248105,0.02236288035903543,0.826501,0.9261492671433443
65,0.9958155,0.013199563903720936,0.8347826,0.8559152457284631
66,0.9908683,0.026482713371370353,0.82567286,0.8427192073924694
67,0.9940938,0.017344557102791536,0.82194614,0.9418674685446619
68,0.9941374,0.017721265974105792,0.77225673,1.2414959500295035
69,0.99306947,0.020513925758800917,0.8443064,0.8051538284274115
70,0.99459505,0.01617203560666243,0.75693583,1.3625737019947597
71,0.99533606,0.01411552602490291,0.815735,0.9778582734844452
72,0.99394125,0.018089705815752657,0.8293996,0.8884318157999659
73,0.9925028,0.022628315814917956,0.85507244,0.744356033767479
74,0.99644756,0.010611435869408176,0.85465837,0.7258822751341399
75,0.9953143,0.014356193871728035,0.83561075,0.8726111121799635
76,0.9923067,0.022063002829024167,0.8488613,0.7739715256305956
77,0.9955976,0.01303621098984456,0.68530023,1.9280104984161028
78,0.9953143,0.013723705166053436,0.8115942,1.000535584285886
79,0.9944643,0.01736374464362888,0.85755694,0.775481683151569
80,0.9947258,0.015907695656731627,0.8360248,0.9108201105155312
81,0.99474764,0.014943958192290368,0.82815737,1.0015277730752223
82,0.99385405,0.017522876831729192,0.8484472,0.7382706767283611
83,0.99431175,0.01637265049492681,0.7958592,1.2164411308849328
84,0.9960989,0.011015584641128517,0.7826087,1.254893063955919
85,0.99577194,0.012817659239448616,0.8505176,0.849516040543345
86,0.9943989,0.01744275829621335,0.8372671,0.8738421311783248
87,0.99431175,0.016660886252201607,0.84761906,0.8737050483685843
88,0.99527067,0.015172469789959475,0.8542443,0.8038253403104857
89,0.99660015,0.00938684736186194,0.79668736,1.1478948705438254
90,0.9947258,0.0165348915954965,0.8,1.2646691310479774
91,0.9946387,0.01581096061575611,0.86128366,0.7575406334908605
92,0.9973847,0.007997425932548877,0.84637684,0.8758328248501811
93,0.99400663,0.01719113741596423,0.7925466,1.2138539499377612
94,0.99636036,0.01159666894617459,0.8347826,0.9928634002095177
95,0.9950091,0.014903034975090095,0.83229816,0.9438826967223584
96,0.9960989,0.01230691916760466,0.79668736,1.10547622113988
97,0.99474764,0.01517921989138007,0.7937888,1.2692988533410967
98,0.99673086,0.008489452154041843,0.84347826,0.8751871598186454
99,0.99459505,0.016244848811289146,0.8637681,0.7545612724424643
100,0.9955976,0.012496850309561344,0.8376812,0.8965524174411845
101,0.9957501,0.01225601295347612,0.8567288,0.8152141896340664
102,0.99681807,0.010167732981525061,0.83975154,0.9093093954998513
103,0.9955758,0.012350243962670544,0.86128366,0.8579237148628471
104,0.99568474,0.013639321382355485,0.8538302,0.8258107197210656
105,0.9964694,0.010025545009188805,0.8289855,0.9617795660875845
106,0.9953143,0.013732718695614165,0.8447205,0.8988907653105679
107,0.9953579,0.013621690530796295,0.83229816,0.9178829781510568
108,0.9978424,0.006164372022052491,0.85175985,0.8036814033368113
109,0.99605525,0.012495587726483137,0.84637684,0.9252011542981703
110,0.9947912,0.015723055254251862,0.76645964,1.266338210323089
111,0.99731934,0.008611155911543208,0.87287784,0.7073681926381761
112,0.9984744,0.004746878330684886,0.8505176,0.8676506662714308
113,0.9951617,0.01575227576676014,0.8248447,0.9018888156359733
114,0.99644756,0.01072966965059171,0.82608694,0.9726600135582081
115,0.9973411,0.007822168904182091,0.8248447,1.0404212013288068
116,0.9947694,0.017489857517114668,0.73747414,1.5996610949004906
117,0.9967091,0.010089932888639783,0.82857144,0.9950303385223167
118,0.9958155,0.011678564098606228,0.86542445,0.7447982327044628
119,0.99760264,0.007052301478230139,0.77598345,1.273101015786947
120,0.99725395,0.008818674147443648,0.83561075,0.995483528555797
121,0.9957501,0.012205960029673767,0.8563147,0.8493175931598829
122,0.9974501,0.007995223504048242,0.8530021,0.8387210280998894
123,0.9977988,0.007379590190858245,0.81035197,1.108428903173956
124,0.99614245,0.01125814487664547,0.81283647,1.1843579421132249
125,0.99616426,0.011293136251106686,0.7863354,1.3142669588882732
126,0.99636036,0.010794117005779135,0.8703934,0.769059183311265
127,0.99799496,0.005929983726215251,0.8608696,0.8201932832814645
128,0.9964694,0.010502039591397202,0.83271223,0.956862115020831
129,0.9958155,0.012519254771153555,0.8467909,0.8513771723022618
130,0.9972104,0.008771986147624184,0.84223604,0.9149817852253253
131,0.9973847,0.008168630886391073,0.85341614,0.9144618133580462
132,0.99718857,0.008999426422090055,0.6679089,2.2602280019479757
133,0.9963822,0.009631437097553645,0.8509317,0.8756041562335092
134,0.99642575,0.010457649762816986,0.8033126,1.2808977172735068
135,0.9974501,0.007507732334089568,0.8165631,0.9750954390312574
136,0.9963822,0.010585844310275781,0.8484472,0.9164527566783424
137,0.9983001,0.005385660365743501,0.80496895,1.1482600424353875
138,0.99542326,0.013745379675667697,0.85714287,0.8922305171780952
139,0.99718857,0.008288167608087855,0.87080747,0.7902258914943561
140,0.9978642,0.006102850421123785,0.8331263,1.0486227625398656
141,0.9969924,0.009256003585026379,0.8641822,0.8054939753767373
142,0.9975591,0.008246401581486046,0.8666667,0.8074252382321881
143,0.9966873,0.009270973587293271,0.84803313,0.904422983027393
144,0.9971232,0.0089141363451028,0.7561077,1.5668452555101604
145,0.9969706,0.008936203803287145,0.8703934,0.7704864103601586
146,0.99877954,0.004031385239984547,0.82277435,1.105886649591829
147,0.9969706,0.008922471184736765,0.8621118,0.8101801254487679
148,0.996404,0.010583772709586053,0.8501035,0.922083580469246
149,0.997145,0.008024913690575364,0.8720497,0.7799181479598177
150,0.9981039,0.005670971752252059,0.8484472,0.8615138850843931
151,0.99673086,0.009599686292727855,0.7606625,1.462261256075794
152,0.9963822,0.011188213668422277,0.87246376,0.808982451213813
153,0.9981039,0.006039806214251408,0.8389234,0.9058518807586923
154,0.9971232,0.00868677809417213,0.80082816,1.2645240658065053
155,0.9975155,0.007369843026970802,0.8496894,0.881903810826888
156,0.9974283,0.007988332127722658,0.86873704,0.859680964413637
157,0.9967527,0.009984671612548889,0.8621118,0.8192796934959065
158,0.997145,0.008503033257365199,0.8372671,0.9479193963866303
159,0.9986052,0.004516040355544637,0.84927535,0.892802091365522
160,0.99723214,0.008287114866869739,0.86459625,0.8733537490570273
161,0.9962514,0.011605735652939568,0.87701863,0.7529659589625294
162,0.9981039,0.006746499547083287,0.87080747,0.7540929580573956
163,0.9972975,0.007754718008638919,0.8637681,0.8481717160769872
164,0.9989539,0.0035640425732109764,0.8513458,0.946478161234293
165,0.99694884,0.00996055552693362,0.8554866,0.8997413451133555
166,0.9974283,0.007501425550300439,0.85879916,0.892684989538252
167,0.9979296,0.00567979139117361,0.8637681,0.8610675762405553
