epoch,accuracy,loss,val_accuracy,val_loss
0,0.25904456,2.1211811047819973,0.25962734,2.1269085752791255
1,0.36712143,1.702992470384361,0.36853004,1.7113740108027962
2,0.43592536,1.47339578823623,0.46045548,1.4279741870196956
3,0.48860168,1.329385379522392,0.44513458,1.478942144632833
4,0.5185686,1.2440747820336489,0.5242236,1.243089012576433
5,0.5412998,1.1832864593788195,0.5246377,1.2308374824484436
6,0.5549865,1.1387284476800072,0.54658383,1.1576734912568245
7,0.5696757,1.1015684748057573,0.5701863,1.1331430373971754
8,0.5829483,1.0728632950572852,0.5821946,1.1246246879885655
9,0.59447736,1.0407426319909214,0.5784679,1.0828483797008206
10,0.59983873,1.0200637415806195,0.5921325,1.0403297267098357
11,0.6100166,1.0013277753583536,0.5809524,1.121631838618845
12,0.6142228,0.9855559853873105,0.60538304,1.0105588070354106
13,0.6216764,0.968215316832819,0.6111801,1.0000831776277372
14,0.6290864,0.9502178716395583,0.6115942,1.0217394600497023
15,0.6330093,0.9421556914042869,0.6173913,0.9845771728095061
16,0.63985264,0.9275102070024088,0.6289855,0.9686127324282012
17,0.6460858,0.9145747058040937,0.62070394,0.9566982580267864
18,0.6489626,0.9020210092895564,0.6273292,0.9493554604473075
19,0.6507715,0.8936906593293407,0.6310559,0.9389121704466842
20,0.65676486,0.8823693701387667,0.63395447,0.9340346877619347
21,0.6600994,0.8733917918079307,0.5809524,1.0966830088485102
22,0.6649377,0.8647787058980075,0.6447205,0.9473637064544804
23,0.66903496,0.8541917455673385,0.63146996,0.9307232855269627
24,0.67195535,0.8458323493195894,0.65134573,0.888710427802542
25,0.6732848,0.8392967982889105,0.6443064,0.8948198944145108
26,0.6772731,0.8304002087135571,0.6401656,0.9183399318661503
27,0.6798448,0.8252072037591336,0.64968944,0.889608081107801
28,0.68344086,0.8174820500974428,0.64968944,0.8750050520798187
29,0.6862523,0.810600852162989,0.6625259,0.8694934079612511
30,0.6883009,0.8020860636860935,0.6554865,0.8670262516161916
31,0.6895214,0.7984529740516709,0.6662526,0.8606033908654444
32,0.6898919,0.7939276288395595,0.6488613,0.9014538688689285
33,0.6970404,0.780910378439405,0.6463768,0.8720530480578326
34,0.69754165,0.7809033413189415,0.6612837,0.8743452050671074
35,0.69983,0.7737653792325335,0.6430642,0.9128605949705926
36,0.70442855,0.766458036360002,0.6662526,0.8602218348293817
37,0.704167,0.7642847500769411,0.6542443,0.8761199063395861
38,0.71022576,0.7551462962793479,0.67287785,0.8461863989908996
39,0.7086784,0.7512150188808443,0.67122155,0.8324959572057546
